,Song,Artist,Album,Streams in Millions,Date Published
1,"""Shape of You""",Ed Sheeran,÷,"2,615",6 January 2017
2,"""Rockstar""",Post Malone featuring 21 Savage,Beerbongs & Bentleys,"2,027",15 September 2017
3,"""One Dance""",Drake featuring Wizkid and Kyla,Views,"1,922",5 April 2016
4,"""Dance Monkey""",Tones and I,The Kids Are Coming,"1,879",10 May 2019
5,"""Closer""",The Chainsmokers featuring Halsey,Collage,"1,866",29 July 2016
6,"""Sunflower""",Post Malone and Swae Lee,Spider-Man: Into the Spider-Verse & Hollywood's Bleeding,"1,668",18 October 2018
7,"""Thinking Out Loud""",Ed Sheeran,×,"1,621",20 June 2014
8,"""God's Plan""",Drake,Scorpion,"1,619",19 January 2018
9,"""Señorita""",Shawn Mendes and Camila Cabello,Shawn Mendes & Romance,"1,604",21 June 2019
10,"""Bad Guy""",Billie Eilish,"When We All Fall Asleep, Where Do We Go?","1,554",29 March 2019
11,"""Blinding Lights""",The Weeknd,After Hours,"1,546",29 November 2019
12,"""Someone You Loved""",Lewis Capaldi,Breach & Divinely Uninspired to a Hellish Extent,"1,534",8 November 2018
13,"""Perfect""",Ed Sheeran,÷,"1,528",3 March 2017
14,"""Say You Won't Let Go""",James Arthur,Back from the Edge,"1,526",9 September 2016
15,"""Havana""",Camila Cabello featuring Young Thug,Camila,"1,505",3 August 2017
16,"""Believer""",Imagine Dragons,Evolve,"1,497",1 February 2017
17,"""Photograph""",Ed Sheeran,×,"1,456",20 June 2014
18,"""Love Yourself""",Justin Bieber,Purpose,"1,450",9 November 2015
19,"""Starboy""",The Weeknd featuring Daft Punk,Starboy,"1,435",21 September 2016
20,"""New Rules""",Dua Lipa,Dua Lipa,"1,419",2 June 2017
21,"""Sad!""",XXXTentacion,?,"1,406",1 March 2018
22,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission,"1,403",2 March 2015
23,"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open,"1,396",22 February 2017
24,"""Lucid Dreams""",Juice Wrld,Goodbye & Good Riddance,"1,394",4 May 2018
25,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Vida,"1,390",17 April 2017
26,"""Thunder""",Imagine Dragons,Evolve,"1,370",27 April 2017
27,"""Sorry""",Justin Bieber,Purpose,"1,360",22 October 2015
28,"""XO Tour Llif3""",Lil Uzi Vert,Luv Is Rage 2,"1,345",24 March 2017
29,"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage,"1,342",5 February 2016
30,"""Humble""",Kendrick Lamar,Damn,"1,326",30 March 2017
31,"""Bohemian Rhapsody""",Queen,A Night at the Opera,"1,316",31 October 1975
32,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner and Seeb,"At Night, Alone","1,309",14 April 2015
33,"""Happier""",Marshmello and Bastille,Non-album single,"1,303",17 August 2018
34,"""All of Me""",John Legend,Love in the Future,"1,300",12 August 2013
35,"""Better Now""",Post Malone,Beerbongs & Bentleys,"1,297",27 April 2018
36,"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore,"1,292",5 August 2016
37,"""Faded""",Alan Walker,Different World,"1,284",3 December 2015
38,"""Shallow""",Lady Gaga and Bradley Cooper,A Star Is Born,"1,279",27 September 2018
39,"""Stressed Out""",Twenty One Pilots,Blurryface,"1,275",28 April 2015
