name,artist,album,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Hey Mami,Sylvan Esso,Sylvan Esso,4gB5Idv1iw8jgxyEvuwPVA,0.768,0.749,2,-5.814,0.497,0.306,1.21e-05,0.397,0.605,119.931,200160
Play by Play,Autre Ne Veut,Anxiety,59ZIrPBaCOmLrweJOGHZOD,0.35,0.844,1,-4.161,0.0438,0.03,0.0,0.177,0.104,114.64,313707
Death with Dignity,Sufjan Stevens,Carrie & Lowell,4fpEuKIzTLmMJnYwFU0oqr,0.51,0.16,4,-21.03,0.0395,0.986,0.017,0.113,0.383,170.063,239508
Counting,Autre Ne Veut,Anxiety,6icFqhbP9RPN8r7kHcfY3o,0.618,0.538,2,-5.828,0.0319,0.0249,1.37e-05,0.352,0.308,79.925,221840
No Magnatone,Rogue Wave,Nightingale Floors,7xUBghWz0AIKGLRR1v4A9R,0.276,0.717,9,-8.302,0.0322,0.00755,0.131,0.269,0.236,99.945,183347
Too Much,Sufjan Stevens,The Age of Adz,0vDzmJ9xi0xTW6JXVUYPcL,0.539,0.814,0,-10.691,0.337,0.546,0.0603,0.569,0.611,147.99,405653
Emoticons,The Wombats,Glitterbug (Deluxe Edition),5mQrrvxSTuqPzLUtaVNtnN,0.61,0.708,11,-4.3,0.0606,0.0095,3.14e-05,0.116,0.508,101.003,259347
Hot Air Balloon,H.C. Havins,Refractions - EP,4XwCuTyYZxFVReQLsDHdx5,0.572,0.28,6,-10.339,0.0311,0.261,0.00976,0.108,0.0648,139.891,349714
Promises,Autre Ne Veut,Anxiety,7oZEX2gfwpvYtZUWuiIxlk,0.664,0.73,8,-3.694,0.0449,0.00819,0.0,0.0904,0.401,120.012,124760
Decision Day,Field Report,Marigolden,0pu4Jodrmwkz3ReFmShhPa,0.528,0.628,5,-10.031,0.0352,0.673,0.00176,0.119,0.425,87.831,272480
College,Rogue Wave,Nightingale Floors,1NH6syojZKpNAXfv4HyldJ,0.4,0.729,1,-7.452,0.0326,0.000417,0.157,0.205,0.377,158.072,238333
Both Hands,David Bazan,Blanco,7qXAvcB4enZGEBBxu8GnTw,0.394,0.799,2,-8.105,0.0364,0.0946,0.898,0.0648,0.631,160.106,213570
No Room in Frame,Death Cab for Cutie,Kintsugi,7DkTneByAopqOjXFG6XlZK,0.642,0.721,4,-9.765,0.0434,0.196,0.474,0.0926,0.438,124.997,245280
Siren's Song,Rogue Wave,Nightingale Floors,3QsIaSjgEwEDqrw1yHaBYf,0.434,0.673,3,-7.637,0.0469,0.0375,0.0444,0.216,0.132,144.009,300053
Ego Free Sex Free,Autre Ne Veut,Anxiety,2pdLiPLzrbtWhkVudOyChU,0.584,0.68,9,-4.685,0.0524,0.0109,1.03e-06,0.129,0.322,104.89,243480
From A Balance Beam,Bright Eyes,"LIFTED Or The Story Is In The Soil, Keep Your Ear To The Ground",3aT4JIJewsuf6lMW4U0rjK,0.406,0.797,2,-7.475,0.069,0.0349,9.06e-06,0.374,0.595,96.458,220067
Could I Be,Sylvan Esso,Sylvan Esso,4nPg1JG5d7WrgGGOmJHrbP,0.754,0.516,7,-6.415,0.158,0.706,0.00236,0.0981,0.53,113.077,279440
Garden Song,Phoebe Bridgers,Garden Song,1LTWcRVy9o96Zzn29wXLsa,0.371,0.256,0,-16.7,0.227,0.868,0.00507,0.112,0.171,195.674,220065
Rattlesnake,St. Vincent,St. Vincent,4grZ5z28oJa86yW59L7Kw0,0.698,0.745,10,-7.746,0.139,0.0023,0.00354,0.0977,0.824,109.874,214653
Dreamy Bruises,Sylvan Esso,Sylvan Esso,0L7pQU3DSR8916FVOyjDFB,0.584,0.72,9,-7.888,0.0484,0.000357,0.000114,0.153,0.38,180.016,248133
Song For Zula,Phosphorescent,Muchacho,2kD2li0Gfjqh26jYNz6Z6p,0.478,0.619,4,-8.216,0.0376,0.731,0.496,0.0518,0.5,86.005,370200
Time Forgot,Conor Oberst,Upside Down Mountain,79BVZL9TSIqdjifNii5zyN,0.432,0.425,5,-9.763,0.0634,0.229,1.08e-06,0.125,0.335,175.325,275040
Calm It Down,Sisyphus,Sisyphus,5DmfUzsSqLNW8ZX5ju8E4w,0.847,0.579,11,-12.548,0.169,0.0712,0.0597,0.146,0.286,96.012,389920
