name,artist,album,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Through the Night,IU,Palette,3P3UA61WRQqwCXaoFOTENd,0.428,0.313,8,-7.327,0.0391,0.757,0.0,0.309,0.284,78.723,253293
Dear Name,IU,Palette,1DP0uwV6tMlCEfR61Mh7ki,0.312,0.589,2,-5.071,0.0334,0.459,0.0,0.106,0.237,133.854,289580
Departures - Anata Ni Okuru Ai No Uta,EGOIST,Extra Terrestrial Biological Entities,33w7LgNJIuhs5dhSYZ0do1,0.473,0.431,2,-8.172,0.0305,0.493,0.0,0.0752,0.283,143.862,255013
dlwlrma,IU,Palette,4NPARrLIbtMl29ZJv8ESr2,0.738,0.641,4,-3.44,0.0475,0.315,0.0,0.114,0.631,119.867,176099
잠 못 드는 밤 비는 내리고 [Jam Mot Deuneun Bam Bineun Naeligo] : Sleepless rainy night,IU,꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark,546tamGotuR5Mhbe35ONAv,0.761,0.456,10,-7.817,0.0461,0.727,0.000103,0.143,0.46,91.028,266517
Me Gustas Tu,GFRIEND,GFRIEND 2nd Mini Album 'Flower Bud',6x7fux7bZEfnChKx3nhSZn,0.646,0.923,8,-1.309,0.0613,0.166,0.0,0.0507,0.703,106.086,220745
The Everlasting Guilty Crown,EGOIST,Extra Terrestrial Biological Entities,76jRSSkd4pLwUflgwSeuB0,0.35,0.935,1,-4.368,0.0907,0.00731,1.79e-05,0.339,0.333,171.993,325320
Namae No Nai Kaibutsu,EGOIST,Namae No Nai Kaibutsu,7M2qLDA7hAwKgyrTjJfI2C,0.338,0.896,10,-5.984,0.171,0.000236,0.000705,0.311,0.237,179.832,317267
夢灯籠,RADWIMPS,君の名は。,6CsMd91gWWntqjZfXAScWe,0.213,0.864,8,-5.71,0.401,0.0301,9.68e-05,0.0465,0.13,177.921,129187
Palette (Feat. G-DRAGON),IU,Palette,3y7ByLZ05tluscOTRgEJ9Y,0.804,0.68,0,-3.81,0.2,0.458,0.0,0.102,0.62,102.013,217413
Ending Scene,IU,Palette,06EMBzxDm2hueehobAlMtm,0.388,0.323,5,-7.158,0.0348,0.851,2.03e-06,0.143,0.232,118.885,249242
Sparkle - movie ver.,RADWIMPS,Your Name.,3A4FRzgve9BjfKbvVXRIFO,0.372,0.426,11,-8.421,0.0339,0.687,0.00784,0.109,0.287,123.993,537653
君の知らない物語,物語シリーズ,Utamonogatari Special Edition (Original Soundtrack),0HAi4Xk8v9JlkkxzfzPlYN,0.422,0.914,9,-2.828,0.046,0.00963,0.0,0.0744,0.529,164.876,344053
Some,BOL4,Red Diary Page.1,3mmLyEhphJAaW7hyEXAD8l,0.659,0.799,1,-2.849,0.0629,0.417,0.0,0.0562,0.782,103.99,181373
ONE-HALF,GFRIEND,GFRIEND The 5th Mini Album <PARALLEL>,5kmT53VIrf7sC2J2ja0DpA,0.684,0.898,6,-1.242,0.0402,0.208,0.0,0.0403,0.487,122.973,214058
Tonight,1set,Tonight,5LhXvB3BI6JNdoKAxMKcfQ,0.697,0.567,4,-4.657,0.0403,0.737,0.0,0.118,0.485,94.984,226359
